,id,color1,color2,color3,color4
414,mixed-media732,#FAF8F9,#D4D6D5,#161415,#ABBEC5
415,prints197,#8DADAA,#D07338,#ECDFCC,#0C1D2D
416,prints1203,#BBB7AC,#BD8459,#F0E3D3,#92664B
417,painting716,#BCCEF6,#121921,#01BCC5,#C587D2
418,prints829,#C2D9C7,#F2E6C0,#69B2B8,#D7B961
419,photography767,#F1F1F1,#CFCFCF,#11140D,#AEAEAE
420,mixed-media281,#D3D3D5,#3B1812,#BEA797,#241A18
421,prints815,#EEEEEE,#818181,#CBCBCB,#EAE3C7
422,prints140,#F4EDE5,#5C534C,#9E958E,#3E352E
423,prints632,#D6D6D6,#57544F,#1F1F21,#929292
424,works-on-paper214,#FFFFFF,#F3EEDA,#3A3839,#CECBBA
425,photography968,#E9E9E9,#C3C3C3,#A1A1A1,#818181
426,painting931,#E3DCCA,#8BBF41,#C8C8A6,#9EB55B
427,mixed-media524,#87835E,#AA945B,#FFFFFF,#594C2A
428,prints949,#F7F7F5,#355BBC,#F5D534,#64B13F
429,prints791,#4B3478,#DDDCD8,#E8C851,#4C3C69
430,painting104,#252525,#6D6E69,#444442,#8C8D88
431,prints1411,#F1F2ED,#BCB0BC,#183531,#A79395
432,prints785,#698576,#C2D4C8,#565038,#F0F1F3
433,painting1081,#161513,#F3F3F3,#2F2E2C,#CFCFCF
434,prints961,#FFFEFF,#D33921,#E1ED4D,#F5C245
435,photography834,#EFEFEF,#DADCC7,#BCBCBA,#315A6E
436,prints752,#D6D6D6,#B4B5B7,#8C9399,#656F6E
437,photography1195,#FCFEFD,#191D0F,#C8B57D,#565529
438,prints746,#FFFFFF,#BEBFBA,#F6C72F,#D22640
439,photography1181,#A8A6A7,#D7D6D2,#1C1D18,#363634
440,painting851,#131311,#E94029,#1F3ED6,#2B2F38
441,painting37,#181A15,#2F342E,#43492F,#B8A36C
442,mixed-media1133,#FFFFFF,#8B6D4B,#AA8C66,#000000
443,works-on-paper406,#2B2823,#484035,#A3A3A3,#6B6454
444,prints55,#DFDDDE,#B2AAA7,#706762,#57321F
445,works-on-paper837,#71523E,#FFFFFF,#582E16,#1E1D18
446,prints1161,#E7EDE9,#47055D,#E94706,#BB0D04
447,painting474,#E0B6C2,#9FB4D1,#0944A8,#DE84A7
448,prints593,#D8D2B8,#4E4945,#B1AB93,#6B6660
449,photography1340,#EFEFEF,#191919,#C5C6C0,#A09F9A
450,painting1283,#FE5768,#FFFFFF,#000002,#251D1A
451,prints587,#E8E4D8,#969EA9,#000000,#BEC1C8
452,prints1175,#E3E3E3,#74B4D8,#E7D543,#C2192E
453,photography439,#747474,#949494,#0D0D0D,#505050
454,prints41,#D8DBD4,#0D141A,#341A1D,#A7836D
455,photography1426,#9AAEAC,#74786A,#FFFFFF,#37330E
456,photography377,#3F8FCA,#020202,#CFE3EE,#7894BC
457,prints69,#FFFFFF,#DDDED8,#B3B0AB,#6A6464
458,mixed-media685,#D6AC5A,#DCC494,#6A2118,#2E1A3D
459,mixed-media1480,#FFFFFF,#422D34,#5E5643,#A89B8B
460,prints96,#ECECEA,#266256,#432E2D,#CAC3B9
461,prints236,#FFFFFF,#736C62,#DCDCDC,#DA3732
462,prints550,#E9E8E6,#BD282E,#014DA1,#9E2A2B
463,photography1383,#000000,#540500,#2B0303,#311500
464,prints544,#E3E1E2,#373739,#5B5350,#BDBBBE
465,prints222,#BBBCC1,#5C5A5B,#969593,#050505
466,prints82,#FFFFFF,#0E0C0F,#AA887E,#DEDDD9
467,works-on-paper610,#EFE2AE,#9F8A5F,#D3BF8D,#7A643D
468,works-on-paper162,#FFFFFF,#332B28,#E2DDD7,#BFB8B2
469,prints579,#C5CDE0,#FFFFFF,#18171C,#4E515A
470,mixed-media1324,#E5E2DD,#E8BB9A,#E4A37B,#E7CCBB
471,works-on-paper177,#292824,#FEFEFE,#42433E,#5F605B
472,prints545,#D0D0CE,#8B8B89,#F5F4EF,#272435
473,photography1382,#3B3633,#74555A,#5F5B58,#897576
474,prints223,#383433,#E8E8E8,#1E1A19,#B0B1AC
475,prints83,#000000,#FCF4CD,#ACE1C3,#A81204
476,prints97,#1A1B1F,#C9C0B7,#1E3E87,#A09B88
477,prints551,#1F201B,#F4F5EF,#63605B,#AFAAA6
478,photography362,#262F2A,#46473F,#000700,#1B3A00
479,photography376,#011E30,#000000,#0E333C,#795D45
480,photography410,#050503,#C7C9B4,#929576,#E1E0E5
481,photography438,#FFFFFF,#C6B895,#586878,#D0D1C3
482,prints1174,#F3F0E9,#DDB18C,#040308,#CCBEB3
483,painting1282,#BCC1C7,#A29688,#98B6D0,#645445
484,prints586,#FFFFFF,#EEBF00,#E1D9D6,#CFC1A6
485,painting461,#B3B2B8,#89B9AB,#235463,#7999A4
486,photography1427,#535257,#747378,#15161A,#2F2F31
487,prints40,#F3F3F3,#0A0A0A,#9D9F94,#D03D29
488,painting307,#FFFFFF,#DBDBDB,#BDB6B0,#7A8187
489,prints54,#000000,#202020,#3A3A3A,#FDEECF
490,mixed-media860,#C2C2C4,#9BB3BF,#6691B4,#8D9598
491,prints592,#DECDAF,#BAA685,#98886E,#6D6250
492,painting1296,#948F7C,#B2B2B2,#757575,#888B9E
493,works-on-paper407,#EEEEE6,#0F1316,#282C2F,#47484A
494,painting688,#D7D6DB,#848389,#B5B5B7,#424240
495,mixed-media1132,#222224,#797979,#CCC9C4,#F3EEEA
496,works-on-paper1325,#DFDFDF,#BDBDBD,#5F5B52,#9799A6
497,photography1180,#DFDFDF,#A7A398,#615D54,#191814
498,prints747,#FFFFFF,#000000,#FF4C35,#23272A
499,photography1194,#DADDD2,#C4A892,#01241E,#A88774
500,prints753,#EAEAE0,#938D81,#E3CBB1,#B88E5C
501,painting1057,#52350D,#EE61C9,#FFFFFF,#765222
502,works-on-paper1331,#E8D9C2,#C6B7A0,#A39781,
503,works-on-paper349,#FFFFFF,#F8E8D9,#CD0D02,#190037
504,prints960,#FFFFFF,#B6BABD,#6B7E82,#8A9DAB
505,prints974,#E8E3D0,#BEA771,#FFFFFF,#988B61
506,mixed-media486,#BFC2AD,#9FA9AB,#181800,#B4670F
507,prints1438,#2A2A2A,#0F1012,#00457E,#927F5F
508,prints1376,#010101,#414149,#FFFFFF,#D0D0D8
509,prints1362,#150706,#FCE6AA,#CD2B1C,#260000
510,prints948,#F5F0EA,#489C6A,#D73F2A,#0E2F36
511,mixed-media243,#D3D3D5,#3B1812,#BEA797,#241A18
512,photography969,#D6B892,#212224,#BF9773,#A27963
513,mixed-media531,#EBC77D,#FFFFFF,#CDA663,#E1DAD0
514,mixed-media1046,#FFFFFF,#F9E9C8,#B82C5D,#E7C69B
515,prints633,#F2EFEA,#24282B,#949399,#424146
516,painting1137,#F3F3F3,#111016,#2F2E34,#4A4951
517,prints141,#070707,#655C53,#BCC5B0,#272320
518,prints800,#F9DD22,#FFFFFF,#0F1014,#101125
519,prints828,#FFFFFF,#637D94,#90979D,#ECD7D2
520,prints1202,#F3F4EE,#D0D0D2,#1F1F21,#41403C
521,prints1216,#D7D6D1,#B3B2AD,#92918C,#72716C
522,photography1023,#0C0B10,#443F3B,#EEDDC1,#6D665C
523,mixed-media1250,#272926,#F7F7F7,#ECDDBE,#000100
524,painting298,#01417F,#6A6762,#405767,#004771
525,prints419,#EFEFE5,#425796,#99A9CB,#D5482C
526,painting1335,#A5A7B6,#C8BEB2,#9F9593,#888596
527,prints357,#313131,#E9D9CA,#FD4F2C,#2F71AD
528,works-on-paper759,#FFFFFF,#CD5B02,#0F0F0F,#EDC919
529,works-on-paper1047,#D1D2C0,#FFFFFF,#B0B5AE,#8D928B
530,mixed-media1293,#EECB00,#010101,#FFFEFF,#FFF500
531,mixed-media928,#CEC9C5,#F4F1EC,#2A2220,#010000
532,prints394,#DFBE91,#E9E7E8,#372114,#4F2B11
533,prints1014,#F1F1F1,#C81E27,#060C0C,#AE2129
534,photography558,#899AB6,#485E85,#2B3E69,#677B9C
535,painting228,#FF5F11,#FFFFFF,#0F0B08,#AF7E44
536,works-on-paper925,#212121,#393A34,#565751,#75756D
537,photography259,#767676,#1F1F1F,#959595,#585858
538,prints1073,#F5F0EC,#1D3152,#3C3E6E,#B9B9B7
539,prints1067,#030305,#F4F6F1,#D3D6DD,#B0B3BA
540,painting1391,#68927E,#56A786,#23282E,#5B785A
541,painting214,#19191B,#B3A8AC,#F3F3F3,#7B010C
542,works-on-paper931,#99A790,#82A2C9,#EFF0B6,#588ED4
543,works-on-paper702,#E3E5E4,#BB111E,#EAB194,#9CB033
544,mixed-media740,#B8B4B3,#E7DBC1,#10131A,#78583F
545,mixed-media1237,#FFFFFF,#CED1D8,#B9B6AF,#ECDAC4
546,works-on-paper716,#F9FFFF,#E8E2D6,#C6B5AB,#746E62
547,prints324,#E5E5E5,#1F213A,#3E4059,#712F30
548,prints442,#BCC6BE,#457E5D,#FEFFFF,#BC8B3C
549,mixed-media768,#000000,#F0DC6C,#E6D492,#EAD701
550,prints456,#F0F0F8,#F2D1C0,#BBB5F1,#EDC843
551,prints867,#D7D4CD,#CFB6AF,#A7A49F,#7F7A76
552,photography701,#F8F9F4,#C4B7A7,#958979,#AE8162
553,prints1259,#E3DFD6,#FFFFFF,#E2C4B9,#824648
554,photography715,#EEEEEE,#062F65,#2F4867,#0A2140
555,prints873,#868485,#F4F4F4,#5F5F61,#010101
556,painting764,#5E4713,#E0E0E0,#525027,#C5A260
557,prints683,#EAEAE0,#938D81,#D4C8B8,#995F49
558,prints697,#A39C7F,#C2BCA2,#827B5F,#FFFFFF
559,prints1265,#F2F0F1,#E02A41,#E62D2A,#D0CECF
560,mixed-media556,#F1EAE0,#DEB887,#050505,#9F0D00
561,mixed-media230,#000200,#DF0100,#FFDF01,#D48C38
562,works-on-paper500,#D90119,#E9E5D9,#1F211C,#8D989E
563,prints640,#0081AB,#AA3335,#F2D318,#D5D9E2
564,works-on-paper528,#E4D7C6,#1D1C18,#383732,#C9B89E
565,prints654,#FEE5C7,#D6D1BB,#70491E,#FED3A6
566,prints913,#02B2A8,#F5CD92,#EAA05F,#52AB59
567,prints1339,#294A97,#D9F2F7,#C9B600,#BFC7DA
568,works-on-paper24,#ECEBE6,#85857D,#CAC6BA,#666761
569,mixed-media387,#020305,#FFFFFF,#C29E52,#9B2C10
570,mixed-media1196,#EFEEEA,#13181E,#FDA63F,#FBD34F
571,mixed-media1182,#C5921F,#161614,#1A1D30,#362D1C
572,works-on-paper30,#EDEFEE,#3B3A3F,#5A5448,#4A5E5F
573,photography661,#EBEBEB,#767676,#C3C3C3,#010101
574,painting86,#E5E5E5,#181415,#55525B,#F40000
575,photography1118,#0A0D16,#FFFFFF,#252638,#EFCED5
576,prints1305,#EBE6E0,#10100E,#BEB9A6,#514E47
577,photography891,#E5E5E5,#131313,#C2C1BC,#A1A09B
578,photography1130,#FFFFFF,#040404,#44834A,#295821
579,painting610,#3BAABD,#1A1B1D,#6E4740,#9A5B52
580,prints1463,#7165A7,#C9C39F,#DC587F,#AF4762
581,works-on-paper18,#EBECEE,#E5D8C8,#BFBCB7,#CCBB9F
582,photography1124,#6A7A87,#505153,#0F1110,#9FA5B3
583,works-on-paper1381,#262521,#FFFFFF,#434341,#61615F
584,prints1311,#F1EDEA,#1D1F36,#CAD4E0,#A2B1C6
585,works-on-paper312,#AAB3BC,#080814,#A09093,#5A595F
586,prints708,#DBD1C5,#E0B082,#FD9A70,#387B36
587,painting837,#FFFFFF,#656368,#86838A,#DFDBCF
588,works-on-paper460,#E9EAEC,#A37F65,#B8BAAF,#8B4D40
589,prints1488,#F5F5F5,#191919,#E59A7D,#906543
590,mixed-media1141,#68463D,#272624,#FFFFFD,#B4453C
591,mixed-media436,#B3A42D,#9B8426,#080705,#71631C
592,painting45,#191816,#B8B3A0,#4E443A,#857C6B
593,prints734,#D22F28,#9EB4A7,#FE8E7A,#064C2A
594,works-on-paper1430,#F1F1F3,#040A08,#CFCFD7,#A6AFB6
595,photography846,#FFFFFF,#6D5A4C,#CBB6A5,#8E7B6D
596,painting1024,#010000,#FFFFFD,#22211F,#DDDCDA
597,prints720,#37313F,#9A9484,#DBDBE3,#655850
598,mixed-media1380,#5A81AC,#73787E,#A7A4B9,#1F7CC2
599,mixed-media64,#FFFFFF,#55A6DE,#FEDEC7,#DBFFE5
600,mixed-media807,#F4F1EC,#5CAAD0,#4B5151,#060B0E
601,prints1107,#EFF2F9,#E93527,#1A5CD4,#1344AB
602,works-on-paper1197,#443F3C,#5F5D5E,#241C1A,#91726D
603,photography1440,#FDFDFD,#704C34,#767771,#66614E
604,prints27,#535219,#BE9261,#926B42,#FFFFFF
605,prints287,#E6DACA,#8C3035,#DFBE6F,#C6AC91
606,painting360,#C2C2C4,#B2A583,#FFFFFF,#89746F
607,works-on-paper676,#EDE8E2,#CCC5BF,#ABA49E,#8A837B
608,mixed-media146,#FFFFFF,#181A19,#414342,#DCDCDC
609,prints278,#4D7AA3,#DEDDD8,#D9AD88,#95A4AB
610,mixed-media1343,#F0EFED,#FFCC01,#79CC02,#FE0000
611,mixed-media608,#E0E7F1,#B1A58D,#B9C2CB,#443D33
612,prints522,#FFFFFF,#F6E25B,#DD503F,#BAC346
613,works-on-paper138,#E6E0CA,#8B8577,#C5BFAF,#6A6359
614,mixed-media1418,#24BFB9,#BAC5BF,#010101,#D31215
615,painting1233,#191919,#26312B,#43565D,#A7B8E4
616,photography489,#FFFFFF,#0F1025,#F2DDEE,#F4D23D
617,photography338,#8E8E8E,#FFFFFF,#B9B9B9,#6B6B6B
618,mixed-media71,#9F9CA3,#7DA998,#76808A,#506674
619,prints292,#D9D5D4,#82B6DB,#0691D6,#1E2E47
620,prints32,#FDFDFD,#DCD8B3,#29221A,#A09277
621,photography1455,#EDEDED,#2A2A28,#CBCBCB,#72736E
622,works-on-paper688,#FFFFFF,#DEDDE3,#9B9B9D,#7C7B80
623,prints1106,#080202,#C6C5CB,#3F3D3E,#A5A4AA
624,works-on-paper878,#DFDCC9,#656357,#D8AA6E,#CBAF88
625,prints721,#F2EDE7,#928B83,#CBCCC7,#5D564E
626,works-on-paper1357,#DCD1CB,#2C2B29,#A69E9B,#55483F
627,prints735,#4A8938,#AA3335,#D8DBE0,#303030
628,mixed-media1168,#171518,#FEFEFE,#BCBCBC,#3A3941
629,works-on-paper1431,#EEEEEE,#E7DBC5,#636162,#C4BFBC
630,prints1489,#000000,#F8DC16,#FFFFFF,#E1CC33
631,works-on-paper461,#EDEEE8,#CBCCC6,#ABA79E,#78706E
632,mixed-media437,#ABADAC,#8F9183,#B0D2FF,#8CABDA
633,mixed-media423,#CAB943,#F3F3F3,#B3A44F,#A4A19C
634,prints709,#A0A3AA,#EFCABA,#9EDFFD,#F7FAFF
635,works-on-paper475,#9A9180,#989DA3,#70808D,#A08991
636,prints1476,#060000,#8C6B58,#443635,#EEBEB0
637,photography884,#E1DED9,#010101,#232323,#2B2E41
638,prints1310,#217D88,#8AADB3,#C6D0D2,#549AA2
639,works-on-paper1380,#EFEFEF,#28282A,#454547,#CDCDCF
640,prints1304,#2F3849,#C35651,#EEF7FE,#CBCFD0
641,prints1462,#EAE5DF,#3E3935,#C6C1BD,#98938F
642,painting177,#D1CFD0,#A0A5AB,#B1D3C3,#73737B
643,works-on-paper31,#F3F3F3,#E5DECC,#C3BCAA,#A29B89
644,prints906,#FFFFFF,#E2C395,#E0D3C3,#C4A469
645,prints1338,#FFFFFF,#000000,#FDF339,#227FC4
646,mixed-media386,#D21E2A,#CF9E04,#DF4C42,#141215
647,works-on-paper25,#EBEBEB,#7C4241,#396685,#BE9B97
648,works-on-paper529,#EDEDED,#1C1C1C,#363636,#CACACA
649,prints655,#EBEAE5,#4970BF,#C6C9DC,#7B98DC
650,photography933,#E1E3E0,#1B1C1E,#353B39,#C6C4B8
651,prints641,#D1D3E0,#140F15,#212A27,#646567
652,mixed-media225,#B3B2B8,#89B9AB,#235463,#7999A4
653,mixed-media1034,#FFFFFF,#7D5D37,#42102D,#0B060A
654,works-on-paper515,#F4F4F4,#D0D0D0,#4D4A45,#6C6B67
655,prints669,#1C1C1E,#70B2C2,#E9E8E6,#EB3817
656,works-on-paper267,#F3F3F3,#BEB89E,#D2D1CF,#E0DBBE
657,works-on-paper501,#E5E6E1,#000000,#AFB0AB,#5E605F
658,prints696,#E3E1E2,#9B83BD,#245623,#A597BA
659,prints682,#A41E12,#D4D4D4,#2EAC6C,#AD411D
660,prints872,#9C9078,#272621,#FFFFFF,#464034
661,photography700,#3B393A,#5A564B,#7E7767,#2A2014
662,prints866,#EFEFEF,#6D6D6D,#414B55,#242C37
663,works-on-paper1035,#CBCCC6,#ACA698,#4D4131,#807174
664,photography1290,#C4C4C4,#656565,#1B1B1B,#A1A1A1
665,painting1435,#D9818F,#1A3D8E,#153371,#2F3555
666,prints331,#373536,#D9D8D6,#545253,#AFB1B0
667,prints325,#EBEBE3,#5E544A,#C1B8A9,#857C73
668,prints443,#8C7B73,#FDFCF8,#E3D4BF,#502F04
669,photography1284,#D9CFCD,#B31A2C,#A8D9D3,#D48B82
670,works-on-paper1021,#F1F1F1,#E2DBC9,#B8BAAD,#8C8678
671,prints1099,#B19273,#D5CBC2,#080702,#0B9DEA
672,prints319,#FFFFFF,#FFD419,#A82B3D,#FFA800
673,prints1066,#DCD9D2,#101010,#81827D,#B2B3AE
674,prints1072,#FFFFFF,#E7DBDD,#7A6E6E,#C4BDB7
675,prints480,#640000,#000100,#791C24,#8A0000
676,photography1247,#C9CAC4,#FDFCF7,#6A6A62,#A9A8A3
677,photography270,#040404,#9C7E7E,#624643,#805044
678,works-on-paper918,#E6E1DD,#C1BCB8,#918C88,#0C0C0E
679,mixed-media796,#B8A086,#2A221F,#A73628,#DCA763
680,prints1058,#F7F7F7,#D1D0BE,#A0A28D,#595549
681,photography1279,#090909,#B3ABD2,#0B201B,#B68FA4
682,works-on-paper932,#D9D9D7,#B7B7B5,#959595,#6E6E6E
683,prints1064,#C5C0BD,#010101,#FF3D00,#FFFEFF
684,mixed-media964,#D9DBD6,#020E58,#0B3186,#C2BFAE
685,prints496,#EAECEB,#848580,#C9CBC6,#5E5D58
686,painting565,#C5AA8D,#96B6B5,#BE735E,#B8AFA6
687,prints482,#EAE5CF,#1D2122,#AB8348,#CAC2AD
688,prints1070,#272320,#E5DFD3,#A93E2A,#4B80B6
689,works-on-paper715,#F5E6C9,#F3EEEA,#433A31,#61584F
690,prints469,#A1D6F6,#1B4182,#158F44,#541A19
691,mixed-media1208,#FFFFFF,#D4C7B4,#311218,#535D5F
692,works-on-paper1037,#DBC49A,#E9B89A,#C88A73,#B36A59
693,prints441,#EDEDE3,#EDDEB3,#CBB402,#CD162A
694,photography716,#525252,#201F1D,#D0CDC8,#6D6C74
695,prints870,#FDDECA,#FFFFFF,#D4CAC1,#9EA7B0
696,prints864,#1B1B1B,#BDBDBD,#7B7B7B,#353535
697,prints694,#CCB4A8,#DCD6CA,#0A0000,#40291B
698,painting1190,#FAFAFA,#050505,#DBD8D3,#8E8274
699,prints1266,#1F1F1F,#EBE7E4,#ACB3A3,#66696E
700,prints858,#130F10,#312322,#EEE4E2,#EBD4B4
701,mixed-media227,#2D2E33,#F3F3F3,#494951,#67676F
702,prints119,#DDDCD7,#043E63,#1D1B1C,#0195BD
703,works-on-paper503,#C5CFD9,#E5E7E2,#DBCE99,#B1B3AE
704,works-on-paper1235,#191A1C,#EA5863,#A13E41,#8A7469
705,painting968,#F3F3F3,#180A19,#D1D1D1,#56524F
706,prints125,#B77E51,#E6E7E9,#985F34,#B48B6B
707,prints643,#F7F7F5,#ED0105,#008C36,#FF480C
708,works-on-paper33,#F3F3F3,#D6D3CA,#B4B1A8,#939087
709,mixed-media384,#FFF38F,#85BADA,#93BF74,#A7CF9A
710,painting91,#E2E2E2,#090708,#807772,#BEB3AF
711,prints938,#1941B2,#F7F8F3,#F00222,#64B0D2
712,photography1127,#E8EBF0,#060D05,#D9B59F,#C48167
713,prints1312,#030406,#C7C7C7,#00AC36,#585369
714,prints1474,#F1EEE5,#201E1F,#C6BFAD,#625950
715,prints1460,#E4E2D5,#1F2022,#6B6C66,#F46C00
716,works-on-paper1396,#D0CDC8,#7C7A6E,#3E3B36,#A0998F
717,prints1306,#313131,#FFFFFD,#AEA6A3,#D6CECB
718,photography1133,#323232,#E2E2E2,#858585,#4E4E4E
719,mixed-media1142,#665F57,#857E76,#030303,#D8D5CC
720,painting52,#13140F,#5B4329,#2C2D27,#A47C41
721,photography845,#E7E6E4,#230409,#380F0D,#582627
722,prints723,#EDE9E6,#C7C0B8,#A69F97,#867F77
723,works-on-paper1427,#DFDFDF,#002786,#BFBDC2,#E6BD01
724,painting439,#0B0B0B,#2A6C86,#163641,#235262
725,prints1138,#E8E8E8,#7D71A3,#AA5843,#948AAF
726,photography474,#F7F7F7,#C3C3C3,#111F28,#5A5A5A
727,mixed-media73,#FFFFF7,#1E1F24,#3665A9,#383836
728,prints284,#ECECEC,#535C6D,#30353B,#959EAF
729,prints1110,#E6C88A,#B4A272,#10110B,#918354
730,mixed-media804,#846839,#5A370D,#898071,#443018
731,prints1104,#E01C64,#095E5B,#DFDDDE,#211614
732,photography1457,#EEEDD8,#233535,#FFFFFF,#DFBC9C
733,painting377,#FDFEFF,#EBB3B2,#DADBDD,#C0BBB5
734,prints30,#020202,#F1F1F1,#464543,#B5B5AD
735,prints290,#56B1B6,#E2C8CB,#0F0F11,#E8BC65
736,mixed-media1340,#000100,#FFFFFF,#581E8E,#D89C44
737,works-on-paper107,#E8D8B7,#8F7D67,#312A24,#553621
738,painting1219,#582F29,#A4A5A7,#B8B7A5,#000000
739,mixed-media145,#EBEAE6,#F3B6C5,#ED714F,#00BDDD
740,prints247,#FCF9D8,#B3261C,#9B2C21,#9D5642
741,painting1225,#E6D3C5,#E1C327,#D9DEF1,#060E10
742,works-on-paper1143,#1F1E1C,#F2F1ED,#3B3734,#CFCFCF
743,prints535,#D3D4D8,#1E1E1C,#F7F6FB,#3C3C3C
744,prints253,#FDDECA,#FFFFFF,#D7CDC4,#B1B2B6
745,works-on-paper649,#D8CCB4,#F7F7F7,#B8AA8F,#968A70
746,works-on-paper648,#D8D7D5,#000000,#21201E,#434343
747,prints252,#A11522,#B02A43,#D1E0F3,#B7BCCF
748,prints246,#FDDECA,#FEFEFE,#D7CAC1,#123D68
749,works-on-paper112,#F3F3F3,#4A2628,#CBCBC9,#AC9E9D
750,mixed-media1433,#ABB2B8,#E7EDFD,#E9EAE2,#FFFFDD
751,works-on-paper1195,#524242,#81BFCE,#201D16,#FFFFFF
752,prints1105,#050100,#FB4D06,#EAECDE,#F41E06
753,prints31,#EBEBEB,#E3D7EB,#C1B5CB,#A194B2
754,photography1456,#181415,#8898A7,#F2F2F2,#637987
755,mixed-media72,#FFFFFF,#66CADA,#E9C686,#010101
756,prints25,#01C1C2,#7AD4D2,#396379,#25455E
757,photography1442,#FFFFFF,#387F9B,#73ACC0,#175C85
758,prints1139,#020202,#2D2822,#D5DADD,#4A4339
759,mixed-media1382,#EAEBE5,#900000,#1C202B,#33141C
760,photography461,#F3F3F3,#4D4240,#1F1E2C,#B28870
761,photography1318,#D8E4F0,#1E75B4,#020304,#033A86
762,prints736,#25241F,#DAD9D7,#868583,#3F403A
763,prints722,#F1EBDF,#342F2B,#9A938B,#7B746A
764,works-on-paper338,#EFEEEA,#746F6B,#978B7D,#F3DDC5
765,photography844,#DBE6EC,#CFC9B1,#ABAA8C,#57373C
766,mixed-media420,#FFFFFF,#6A4823,#F0E100,#AD7B00
767,works-on-paper489,#FFFFFF,#383735,#EDD8BB,#585045
768,photography893,#D7E0E7,#695F6A,#0E0C11,#7D4A39
769,prints1307,#482718,#D4D8D7,#FCEBD1,#875731
770,photography1126,#EBEBEB,#0B0A08,#BEBCB0,#272624
771,prints939,#E4E4E4,#C0C7BF,#9FA79C,#7A8678
772,painting160,#B1A18A,#F7F2DF,#8B7546,#1B1612
773,prints1475,#F3F3F3,#222222,#ABABAB,#3D3D3D
774,mixed-media1194,#F1EDE4,#28231F,#CDCCC7,#010221
775,painting148,#CEC7BF,#010101,#ACA59D,#8A837B
776,works-on-paper26,#F3F3F3,#C5B266,#DED8CA,#73562E
777,prints905,#252429,#D8D3DA,#FFFEFF,#ACA6A6
778,works-on-paper32,#F3F3F3,#E5E0CD,#C2BBA9,#9E9785
779,works-on-paper1,#F2EFE0,#2E50A9,#384F93,#41527E
780,prints656,#ADBBC4,#B20C0E,#F98E7A,#DB2126
781,prints130,#1A4534,#F9F9F9,#055D44,#EADDCD
782,mixed-media554,#FFFFFF,#E1DBDB,#B19E8F,#F5E1C8
783,prints1298,#F2F3EE,#090B08,#2A2D24,#987D30
784,prints859,#D2CFC8,#B0ADA4,#5E5D58,#88857E
785,prints1273,#F3F3F3,#29272A,#D4D0D1,#878586
786,prints1267,#E3E2DE,#37322C,#BFBCB7,#57524C
787,photography703,#1E1C1D,#95A4A7,#363636,#68858B
788,prints865,#EFEFEF,#046832,#047C35,#02522B
789,prints871,#E7D8C3,#C8B79D,#A7967C,#36312D
790,painting1422,#EAF358,#CBD13D,#0D0E09,#282923
791,prints326,#817C69,#DAD9D7,#949391,#B8B7B5
792,prints454,#A75D9A,#CDB7C3,#C286B9,#B57631
793,painting1350,#131218,#DEDDDB,#5E6F7F,#48443B
794,mixed-media1235,#206AB5,#B1B6BC,#727B84,#171715
795,prints468,#EBEBEB,#111111,#2F2B22,#866C31
796,prints483,#363533,#ECEEEB,#1C1C1C,#545351
797,photography1244,#393939,#AA9077,#67717B,#6B433B
798,painting570,#E09261,#C0D298,#000300,#238789
799,prints1065,#B3AD3D,#C9A257,#C16186,#BE7D39
800,photography1278,#D7D7D7,#0D0E09,#01628F,#4398B7
801,mixed-media959,#050402,#FFEBB6,#FFFFFF,#DB2500
802,mixed-media781,#B09B5A,#8D7642,#ECECEC,#D59370
803,photography1254,#FFFFFF,#D6D6D6,#FFFFE6,#AFAFAF
804,painting560,#D1CDC1,#F2F2F2,#C1B094,#AFACA5
805,prints1075,#B9B4B0,#FFFFFF,#1A1A18,#95928D
806,painting548,#868068,#A2AC77,#514223,#B3A17B
807,prints1049,#96B2DA,#1C231C,#6F8970,#E0DDBC
808,mixed-media791,#AAB2FD,#E1C2FD,#A80548,#F3EE6C
809,prints450,#D4D3CE,#BFB8A6,#9E9785,#7F7667
810,photography288,#181715,#D9D8D4,#33322E,#878682
811,prints322,#FFFFFF,#7E7E7E,#DCDCDC,#A4A4A4
812,painting1426,#E7F558,#12140F,#A7B22F,#757C84
813,prints444,#4C4442,#E8E9E3,#FA4E2A,#FDF234
814,works-on-paper710,#FFFFFF,#000004,#9D9D9D,#1A1C28
815,prints478,#000000,#E20014,#FFE4F3,#FFFEFF
816,painting1195,#A87A62,#A56251,#B89881,#A54B40
817,prints849,#EBECE6,#EE9974,#EEAF8E,#BB8D76
818,prints685,#751A23,#2B0000,#954043,#21181B
819,painting762,#342C29,#625147,#BD885C,#EDCDB6
820,painting986,#817977,#EDEEF0,#C5C3C4,#1F201A
821,prints861,#F4F1EC,#777165,#D2D0C4,#9A9484
822,prints134,#000000,#EEC843,#E4D383,#FFFFFF
823,works-on-paper248,#CCBEBD,#E2DFD0,#677BB8,#BEADC0
824,photography1095,#EBEBEB,#E1E3CB,#151A16,#384241
825,prints652,#FEFDF9,#151D20,#313737,#4D5351
826,painting789,#6D262A,#93472D,#1F2428,#FFFFFF
827,works-on-paper260,#D9CAAD,#B7AB9B,#FFFFEF,#91897C
828,works-on-paper499,#FED428,#F5F2ED,#EA421E,#FCDB5A
829,works-on-paper1393,#ECF0F3,#040000,#827F88,#988366
830,prints1303,#DDCCB2,#D9A945,#53768A,#23221E
831,prints1465,#353247,#233064,#FFFCF7,#493335
