,id,color1,color2,color3,color4
95,mixed-media871,#EFEFEF,#DDB5CD,#CBCBCB,#B79AB8
96,photography1350,#E7E8E3,#CAC8BC,#887B5B,#BCB096
97,prints1165,#ECE7E1,#43403B,#625B55,#414B88
98,works-on-paper833,#DBE1E1,#CAB7A6,#9BB3CB,#928C76
99,prints51,#F3F3F3,#2E2E2E,#D8D1CB,#B4AFAB
100,photography1436,#8C7D7A,#060B11,#FFFFFD,#C6C6BC
101,prints79,#4C4C4C,#070707,#32312F,#7C7877
102,mixed-media1484,#987B5B,#765B46,#B89A74,#A89382
103,photography401,#131313,#BBBCB7,#9B999C,#716F72
104,prints1159,#B8DEE9,#EFDC8D,#0E0E0C,#BCAF78
105,mixed-media1490,#010101,#D88E43,#E53695,#BC2A1D
106,prints742,#F7F4EB,#2F4342,#9F9E9C,#CBCCC6
107,works-on-paper1334,#DDD7C1,#2A1512,#442F2C,#181818
108,painting699,#F3F3F3,#B62C12,#268A58,#26243A
109,photography93,#D1D1D1,#696969,#0D0C11,#B0B0B0
110,prints781,#7F85A5,#CFCFCD,#655F83,#8C8C8A
111,prints1373,#E5E2DB,#A19899,#333738,#545557
112,prints1415,#F8DF9C,#FFFFFF,#EECB71,#3D3522
113,photography78,#E5E5E5,#19181D,#C2C2C2,#818181
114,painting100,#E1E1E1,#424450,#909090,#BEBEBE
115,prints1401,#E8DED4,#C1B6B2,#665B57,#1C110D
116,prints1367,#FEE8EA,#CEBABB,#AB9999,#857575
117,painting672,#FFFFFF,#1E1D25,#2C7C9D,#057EDB
118,prints795,#1E1F21,#D0C67E,#92A50E,#F0BA02
119,photography1152,#E7EFF2,#C0CECF,#ABACA7,#83827E
120,prints965,#CFD4D7,#93989E,#FFFFFF,#7A4A3C
121,painting882,#D5CAAA,#2B3F3E,#121619,#A9B4AC
122,photography165,#B8A499,#9B8377,#FFFFFF,#D9C7BB
123,prints1429,#EAE7E2,#090909,#C8C5C0,#292927
124,prints971,#E5DDC6,#A65273,#BE7A8F,#DFB8B9
125,painting896,#B4B9BD,#8F969E,#6E7780,#4F5660
126,mixed-media520,#F6F5F3,#D0CBC7,#A8ADB3,#83888E
127,works-on-paper1268,#E6E8E5,#00000A,#2B2A2F,#C0C2BF
128,works-on-paper576,#EBEBED,#C8C8C8,#CDA278,#867969
129,prints178,#F3F3F3,#0A0A0A,#D94021,#358745
130,painting921,#FFF38F,#85BADA,#93BF74,#A7CF9A
131,prints1207,#FEF8F8,#DAD5DB,#EC9091,#FFBDBE
132,prints187,#FFFFFF,#835635,#131217,#DCDADB
133,prints839,#E5E4E0,#353533,#CAC3B9,#A29B91
134,prints811,#FFFFFF,#D0D4D7,#000100,#8D1B11
135,mixed-media1080,#E9B94B,#9E8FC6,#5C5589,#E1BB68
136,works-on-paper990,#2E2D32,#C2B9AA,#B89996,#BD7D7E
137,works-on-paper748,#DFCEB2,#67605A,#816744,#DAA86D
138,prints352,#E7D0CA,#39363F,#1A1720,#474C62
139,works-on-paper984,#E1DDD2,#D5CD85,#E3BA7C,#D8A77E
140,mixed-media722,#C3C4C9,#060201,#FADCC2,#816F6D
141,prints408,#38B9A5,#EB3335,#EAB3D0,#681B15
142,mixed-media736,#0D0B0C,#DFCEB4,#81817F,#C66382
143,prints391,#040404,#B4B4B4,#8C8C8C,#D6D6D4
144,photography549,#10170F,#D4D8E1,#311B10,#521C10
145,mixed-media911,#FFFFFF,#CDC6BC,#AA2A03,#283C92
146,painting504,#FD6152,#3B3B39,#000000,#FFFFFF
147,photography1224,#F3F3F3,#271717,#473133,#684F52
148,prints1011,#1F1E23,#F1D720,#7FA04F,#D9BE3B
149,works-on-paper1081,#141213,#C5BFC9,#FFFFFF,#914D26
150,prints385,#F8F4EB,#115288,#3D577A,#1B1E25
151,prints1039,#7F7C45,#D9DABB,#E7CF85,#A08550
152,photography575,#10150F,#32231E,#192615,#A29988
153,mixed-media1294,#97B3C9,#5E8396,#CAD4D6,#6296CF
154,works-on-paper979,#242831,#EEEEEC,#94C7DA,#2C7997
155,works-on-paper1097,#D6D7D2,#7E2E63,#E3D35A,#B90101
156,prints1007,#FFFDEE,#E89A02,#2D2C28,#494232
157,works-on-paper951,#EBEBEB,#D0CEBF,#56B756,#2B2C27
158,prints393,#FFC501,#F2F1EF,#F7F1D1,#E5D7A6
159,painting274,#FFFFFF,#DCDCDC,#838488,#414244
160,prints387,#FFFFFF,#F6E3D2,#FEE3AE,#FF9562
161,painting260,#DB965B,#DEBFA3,#A6CDC8,#014760
162,prints1013,#FEFEFE,#929290,#BEBEBC,#51514F
163,works-on-paper776,#1E1E1E,#383838,#545454,#747474
164,painting1332,#BFB09D,#1A1B1D,#D8DAD9,#87240F
165,prints436,#181713,#DAD9D7,#EBA28F,#33302B
166,works-on-paper992,#C2C3BD,#8C9093,#4D4D4B,#FFFFFF
