,artist_links
129,https://www.widewalls.ch/artists/katika
130,https://www.widewalls.ch/artists/liz-leggett
131,https://www.widewalls.ch/artists/stephen-pace
132,https://www.widewalls.ch/artists/roberto-fonfria
133,https://www.widewalls.ch/artists/shepard-fairey
134,https://www.widewalls.ch/artists/james-rosenquist
135,https://www.widewalls.ch/artists/charlotte-park
136,https://www.widewalls.ch/artists/joel-urruty
137,https://www.widewalls.ch/artists/deborah-bigeleisen
138,https://www.widewalls.ch/artists/albert-llobet-portell
139,https://www.widewalls.ch/artists/lea-bon
140,https://www.widewalls.ch/artists/ken-greenleaf
141,https://www.widewalls.ch/artists/edward-zutrau
142,https://www.widewalls.ch/artists/michael-james-obrien
143,https://www.widewalls.ch/artists/shine-huang
144,https://www.widewalls.ch/artists/vicky-martin
145,https://www.widewalls.ch/artists/demis-martinelli
146,https://www.widewalls.ch/artists/xan-padron
147,https://www.widewalls.ch/artists/jessica-stockholder
148,https://www.widewalls.ch/artists/sophie-calle
149,https://www.widewalls.ch/artists/yari-ostovany
150,https://www.widewalls.ch/artists/carroll-dunham
151,https://www.widewalls.ch/artists/marc-chagall
152,https://www.widewalls.ch/artists/matthieu-venot
153,https://www.widewalls.ch/artists/john-goodyear
154,https://www.widewalls.ch/artists/gerald-williams
155,https://www.widewalls.ch/artists/david-jay
156,https://www.widewalls.ch/artists/mabelin-castellanos
157,https://www.widewalls.ch/artists/margaret-ann-withers
158,https://www.widewalls.ch/artists/jitka-hanzlova
159,https://www.widewalls.ch/artists/risaburo-kimura
160,https://www.widewalls.ch/artists/rosana-machado-rodriguez
161,https://www.widewalls.ch/artists/deborah-kass
162,https://www.widewalls.ch/artists/sylvie-blum
163,https://www.widewalls.ch/artists/terry-winters
164,https://www.widewalls.ch/artists/bruno-munari
165,https://www.widewalls.ch/artists/andrew-rucklidge
166,https://www.widewalls.ch/artists/jacquelyn-thunfors
167,https://www.widewalls.ch/artists/kathleen-hope
168,https://www.widewalls.ch/artists/kyohei-inukai
169,https://www.widewalls.ch/artists/monika-bravo
170,https://www.widewalls.ch/artists/stefano-ogliari-badessi
171,https://www.widewalls.ch/artists/stefana-mcclure
172,https://www.widewalls.ch/artists/max-steven-grossman
173,https://www.widewalls.ch/artists/daniel-arsham
174,https://www.widewalls.ch/artists/alan-johnston
175,https://www.widewalls.ch/artists/jeeyoung-lee
176,https://www.widewalls.ch/artists/adrienn-krahl
